Chromsome	Gene_ID	Start	End	Length	Eigen_Improvement_Sweep_Region	InterPro_description
ch01	Solyc01g097830.2	80289524	80290790	1267	EDS051	AT5G28150-like protein (Fragment) (AHRD V1 *-*- D6PS19_9BRAS)%3B contains Interpro domain(s)  IPR008586  Protein of unknown function DUF868%2C plant 
ch01	Solyc01g097840.2	80304661	80308285	3625	EDS051	Serine/threonine protein kinase (AHRD V1 *-** D0NNA3_PHYIN)%3B contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase 
ch01	Solyc01g098590.2	80831727	80833048	1322	EDS052	Phosphoglycerate mutase family protein (AHRD V1 ***- C1DZH2_9CHLO)%3B contains Interpro domain(s)  IPR013078  Phosphoglycerate mutase 
ch01	Solyc01g098600.2	80834334	80837989	3656	EDS052	Unknown Protein (AHRD V1)%3B contains Interpro domain(s)  IPR010471  Protein of unknown function DUF1068 
ch01	Solyc01g098610.2	80838433	80843744	5312	EDS052	Glutathione synthetase (AHRD V1 **** Q6F4I7_ZINEL)%3B contains Interpro domain(s)  IPR005615  Glutathione synthase%2C eukaryotic 
ch01	Solyc01g098620.2	80844773	80845541	769	EDS052	Unknown Protein (AHRD V1)
ch01	Solyc01g098630.2	80846096	80853178	7083	EDS052	Import inner membrane translocase subunit Tim44 (AHRD V1 *--- B3Q8B6_RHOPT)%3B contains Interpro domain(s)  IPR007379  Mitochondrial inner membrane translocase complex%2C subunit Tim44-related 
ch01	Solyc01g098640.2	80853972	80856857	2886	EDS052	UPF0603 protein At1g54780%2C chloroplastic (AHRD V1 **-- U603_ARATH)%3B contains Interpro domain(s)  IPR007621  Protein of unknown function DUF477 
ch01	Solyc01g098650.2	80856739	80860452	3714	EDS052	GDSL esterase/lipase At1g54790 (AHRD V1 ***- GDL22_ARATH)%3B contains Interpro domain(s)  IPR001087  Lipase%2C GDSL 
ch01	Solyc01g098660.2	80860411	80860805	395	EDS052	Unknown Protein (AHRD V1)
ch01	Solyc01g098670.1	80860890	80864183	3294	EDS052	Kinesin 1-like (AHRD V1 ***- Q69UI4_ORYSJ)%3B contains Interpro domain(s)  IPR001752  Kinesin%2C motor region 
ch01	Solyc01g098680.2	80867549	80870570	3022	EDS052	LRR receptor-like serine/threonine-protein kinase%2C RLP
ch01	Solyc01g098690.2	80872891	80875991	3101	EDS052	LRR receptor-like serine/threonine-protein kinase%2C RLP
ch01	Solyc01g098700.2	80878024	80889329	11306	EDS052	Branched-chain amino acid aminotransferase-like protein (AHRD V1 ***- Q84L60_CICAR)%3B contains Interpro domain(s)  IPR001544  Aminotransferase%2C class IV 
ch01	Solyc01g098710.2	80889918	80896362	6445	EDS052	Aspartyl protease family protein (AHRD V1 **-- D7LT22_ARALY)%3B contains Interpro domain(s)  IPR001461  Peptidase A1 
ch01	Solyc01g098720.2	80910735	80912501	1767	EDS052	Transcription factor (Fragment) (AHRD V1 *-** D6MJZ9_9ASPA)%3B contains Interpro domain(s)  IPR011598  Helix-loop-helix DNA-binding 
ch01	Solyc01g098730.2	80929022	80929971	950	EDS052	Unknown Protein (AHRD V1)
ch01	Solyc01g098740.2	80937377	80940546	3170	EDS052	Receptor protein kinase-like protein (AHRD V1 *-*- Q9LJU5_ARATH)%3B contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase 
ch01	Solyc01g098750.2	80943685	80949819	6135	EDS052	RING finger protein B (AHRD V1 *--- RNGB_DICDI)%3B contains Interpro domain(s)  IPR018957  Zinc finger%2C C3HC4 RING-type 
ch01	Solyc01g098760.2	80961419	80963453	2035	EDS052	Heavy metal-associated domain containing protein expressed (AHRD V1 *--- Q2RAL3_ORYSJ)%3B contains Interpro domain(s)  IPR006121  Heavy metal transport/detoxification protein 
ch01	Solyc01g098770.1	80967402	80968685	1284	EDS052	Xylanase inhibitor (Fragment) (AHRD V1 **-- Q53IQ4_WHEAT)%3B contains Interpro domain(s)  IPR001461  Peptidase A1 
ch01	Solyc01g098780.2	80969274	80972870	3597	EDS052	Signal peptidase complex subunit 3 (AHRD V1 **** B0XD98_CULQU)%3B contains Interpro domain(s)  IPR007653  Signal peptidase 22 kDa subunit 
ch01	Solyc01g098790.1	80974445	80976074	1630	EDS052	Heat shock protein-like protein (AHRD V1 *-*- Q84KA7_CUCME)%3B contains Interpro domain(s)  IPR008978  HSP20-like chaperone 
ch01	Solyc01g098800.2	80976356	80981277	4922	EDS052	Sodium/calcium exchanger family protein (AHRD V1 *-** C5PBJ7_COCP7)%3B contains Interpro domain(s)  IPR004837  Sodium/calcium exchanger membrane region 
ch01	Solyc01g098810.2	80983941	80987706	3766	EDS052	Heat shock protein-like protein (AHRD V1 ***- Q84KA6_CUCME)%3B contains Interpro domain(s)  IPR008978  HSP20-like chaperone 
ch01	Solyc01g098820.2	80989681	80991894	2214	EDS052	Phototropic-responsive NPH3 family protein (AHRD V1 **-- D7KEU3_ARALY)%3B contains Interpro domain(s)  IPR004249  NPH3 
ch01	Solyc01g098830.2	80993286	80997091	3806	EDS052	RING zinc finger protein-like protein (AHRD V1 **-- Q84KA3_CUCME)%3B contains Interpro domain(s)  IPR018957  Zinc finger%2C C3HC4 RING-type 
ch01	Solyc01g098840.2	80999140	81004317	5178	EDS052	Mevalonate kinase (AHRD V1 **** Q944G2_HEVBR)%3B contains Interpro domain(s)  IPR006205  Mevalonate kinase 
ch01	Solyc01g098850.2	81004479	81006268	1790	EDS052	Short-chain dehydrogenase/reductase family protein (AHRD V1 ***- D7L3S3_ARALY)%3B contains Interpro domain(s)  IPR002347  Glucose/ribitol dehydrogenase 
ch01	Solyc01g098860.2	81006669	81008534	1866	EDS052	Uncharacterized GPI-anchored protein At3g06035 (AHRD V1 ***- UGPI4_ARATH)
ch01	Solyc01g098870.2	81009393	81018896	9504	EDS052	Nucleolar GTPase (AHRD V1 *-*- A6YTC8_CUCME)
ch01	Solyc01g098880.2	81019466	81025335	5870	EDS052	Seryl-tRNA synthetase (AHRD V1 ***- D7M641_ARALY)%3B contains Interpro domain(s)  IPR002317  Seryl-tRNA synthetase%2C class IIa 
ch01	Solyc01g098890.1	81026522	81026767	246	EDS052	Unknown Protein (AHRD V1)
ch01	Solyc01g098900.2	81028899	81034087	5189	EDS052	Yip1 domain-containing protein (AHRD V1 **-- D3BM06_POLPA)%3B contains Interpro domain(s)  IPR006977  Yip1 domain 
ch01	Solyc01g098910.2	81036549	81040755	4207	EDS052	Mitochondrial carrier protein (AHRD V1 ***- C5P0Z3_COCP7)%3B contains Interpro domain(s)  IPR001993  Mitochondrial substrate carrier 
ch01	Solyc01g098920.2	81047454	81059347	11894	EDS052	Mitochondrial Rho GTPase 1 (AHRD V1 **** B2WA10_PYRTR)%3B contains Interpro domain(s)  IPR013567  EF hand associated%2C type-2 
ch01	Solyc01g098930.2	81062071	81063123	1053	EDS052	Cyclin (AHRD V1 **** D8UD80_VOLCA)%3B contains Interpro domain(s)  IPR012389  Negative regulatory factor PREG 
ch01	Solyc01g098940.2	81064496	81068945	4450	EDS052	Pectinesterase (AHRD V1 ***- B9RPV5_RICCO)%3B contains Interpro domain(s)  IPR000070  Pectinesterase%2C catalytic 
ch01	Solyc01g098950.1	81073421	81075107	1687	EDS052	Glyceraldehyde-3-phosphate dehydrogenase (AHRD V1 ***- Q9XG67_TOBAC)%3B contains Interpro domain(s)  IPR000173  Glyceraldehyde 3-phosphate dehydrogenase 
ch01	Solyc01g098960.1	81082155	81084023	1869	EDS052	Glycogenin-like protein (AHRD V1 ***- Q5NA53_ORYSJ)%3B contains Interpro domain(s)  IPR002495  Glycosyl transferase%2C family 8 
ch01	Solyc01g098970.1	81085129	81088524	3396	EDS052	Glycogenin-like protein (AHRD V1 ***- Q5NA53_ORYSJ)%3B contains Interpro domain(s)  IPR002495  Glycosyl transferase%2C family 8 
ch01	Solyc01g098980.2	81089216	81103000	13785	EDS052	Kinesin (AHRD V1 *-*- A6YTD6_CUCME)%3B contains Interpro domain(s)  IPR015748  Mitogen activated protein kinase kinase kinase 3 
ch01	Solyc01g098990.2	81105285	81111003	5719	EDS052	Os06g0146300 protein (Fragment) (AHRD V1 ***- Q0DEL6_ORYSJ)%3B contains Interpro domain(s)  IPR018962  Domain of unknown function DUF1995 
ch01	Solyc01g099000.1	81111149	81113152	2004	EDS052	Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7L3T5_ARALY)%3B contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat 
ch01	Solyc01g099010.2	81113260	81116219	2960	EDS052	GDSL esterase/lipase At1g28590 (AHRD V1 **** GDL8_ARATH)%3B contains Interpro domain(s)  IPR001087  Lipase%2C GDSL 
ch01	Solyc01g099020.2	81120391	81122109	1719	EDS052	GDSL esterase/lipase At5g03980 (AHRD V1 ***- GDL74_ARATH)%3B contains Interpro domain(s)  IPR001087  Lipase%2C GDSL 
ch01	Solyc01g099030.2	81132598	81136508	3911	EDS052	GDSL esterase/lipase At1g28590 (AHRD V1 **** GDL8_ARATH)%3B contains Interpro domain(s)  IPR001087  Lipase%2C GDSL 
ch01	Solyc01g099040.2	81141459	81143521	2063	EDS052	GDSL esterase/lipase At5g03980 (AHRD V1 **** GDL74_ARATH)%3B contains Interpro domain(s)  IPR001087  Lipase%2C GDSL 
ch01	Solyc01g099050.2	81149642	81151267	1626	EDS052	GDSL esterase/lipase At1g28590 (AHRD V1 **** GDL8_ARATH)%3B contains Interpro domain(s)  IPR001087  Lipase%2C GDSL 
ch01	Solyc01g099060.1	81157697	81159173	1477	EDS052	GDSL esterase/lipase At1g28590 (AHRD V1 **** GDL8_ARATH)%3B contains Interpro domain(s)  IPR001087  Lipase%2C GDSL 
ch01	Solyc01g099070.1	81161761	81161997	237	EDS052	GDSL esterase/lipase At5g03980 (AHRD V1 ***- GDL74_ARATH)%3B contains Interpro domain(s)  IPR001087  Lipase%2C GDSL 
ch01	Solyc01g099080.2	81162285	81163935	1651	EDS052	GDSL esterase/lipase At5g45910 (AHRD V1 ***- GDL83_ARATH)%3B contains Interpro domain(s)  IPR001087  Lipase%2C GDSL 
ch01	Solyc01g099090.2	81163488	81171555	8068	EDS052	Beta-mannosidase (AHRD V1 ***- D7IJR3_9BACE)%3B contains Interpro domain(s)  IPR013781  Glycoside hydrolase%2C subgroup%2C catalytic core 
ch01	Solyc01g099100.2	81175913	81191684	15772	EDS052	Long-chain-fatty-acid coa ligase (AHRD V1 ***- Q16WF9_AEDAE)%3B contains Interpro domain(s)  IPR000873  AMP-dependent synthetase and ligase 
ch01	Solyc01g099110.2	81192109	81202257	10149	EDS052	Xaa-pro aminopeptidase (AHRD V1 **-- A1DF27_NEOFI)%3B contains Interpro domain(s)  IPR000994  Peptidase M24%2C structural domain 
ch01	Solyc01g099120.2	81202877	81206378	3502	EDS052	Protein AUXIN RESPONSE 4 (AHRD V1 ***- AXR4_ARATH)
ch01	Solyc01g099130.2	81207115	81209977	2863	EDS052	LysM domain containing protein (AHRD V1 ***- B6TTS5_MAIZE)%3B contains Interpro domain(s)  IPR018392  Peptidoglycan-binding lysin domain 
ch01	Solyc01g099140.2	81210418	81217602	7185	EDS052	Transmembrane protein 49 (AHRD V1 ***- B6TDW5_MAIZE)
ch01	Solyc01g099150.2	81224470	81230198	5729	EDS052	Lipoxygenase (AHRD V1 **** Q9FT17_SOLLC)%3B contains Interpro domain(s)  IPR001246  Lipoxygenase%2C plant 
ch01	Solyc01g099160.2	81236488	81243938	7451	EDS052	Lipoxygenase (AHRD V1 **** Q9FT17_SOLLC)%3B contains Interpro domain(s)  IPR001246  Lipoxygenase%2C plant 
ch01	Solyc01g099170.2	81243100	81245934	2835	EDS052	Lipoxygenase (AHRD V1 ***- Q9FT17_SOLLC)%3B contains Interpro domain(s)  IPR000907  Lipoxygenase 
ch01	Solyc01g099180.2	81247783	81251321	3539	EDS052	Lipoxygenase (AHRD V1 **** Q9FT17_SOLLC)%3B contains Interpro domain(s)  IPR001246  Lipoxygenase%2C plant 
ch01	Solyc01g099190.2	81251679	81256014	4336	EDS052	Lipoxygenase (AHRD V1 **** Q42873_SOLLC)%3B contains Interpro domain(s)  IPR001246  Lipoxygenase%2C plant 
ch01	Solyc01g099200.2	81264237	81268132	3896	EDS052	Lipoxygenase (AHRD V1 **** Q43191_SOLTU)%3B contains Interpro domain(s)  IPR001246  Lipoxygenase%2C plant 
ch01	Solyc01g099210.2	81269872	81273647	3776	EDS052	Lipoxygenase (AHRD V1 **** Q0ZDG1_ACTDE)%3B contains Interpro domain(s)  IPR001246  Lipoxygenase%2C plant 
ch01	Solyc01g099220.2	81275113	81289446	14334	EDS052	DNA polymerase (AHRD V1 *-*- B9RF68_RICCO)%3B contains Interpro domain(s)  IPR006172  DNA-directed DNA polymerase%2C family B 
ch01	Solyc01g099230.2	81291134	81296687	5554	EDS052	Zinc finger protein VAR3%2C chloroplastic (AHRD V1 *--- VAR3_ARATH)%3B contains Interpro domain(s)  IPR001876  Zinc finger%2C RanBP2-type 
ch01	Solyc01g099240.2	81297091	81298341	1251	EDS052	3-hydroxyisobutyrate dehydrogenase (AHRD V1 ***- A3ZMK4_9PLAN)%3B contains Interpro domain(s)  IPR015815  3-hydroxyacid dehydrogenase/reductase 
ch01	Solyc01g099250.1	81298651	81301673	3023	EDS052	LRR receptor-like serine/threonine-protein kinase%2C RLP
ch01	Solyc01g099260.2	81302547	81306319	3773	EDS052	Chaperone protein dnaJ (AHRD V1 *-*- A7J483_9EURY)%3B contains Interpro domain(s)  IPR001623  Heat shock protein DnaJ%2C N-terminal 
ch01	Solyc01g099270.2	81306624	81308855	2232	EDS052	Microtubule binding protein (AHRD V1 ***- A6YTD5_CUCME)
ch01	Solyc01g099280.2	81312318	81324913	12596	EDS052	5%26apos-AMP-activated protein kinase gamma-1 subunit (AHRD V1 **** Q1M178_ONCMY)%3B contains Interpro domain(s)  IPR000644  Cystathionine beta-synthase%2C core 
ch01	Solyc01g099290.2	81330375	81336214	5840	EDS052	Cullin-like protein1 (AHRD V1 ***- Q8LP18_PEA)%3B contains Interpro domain(s)  IPR016159  Cullin repeat-like 
ch01	Solyc01g099300.2	81337554	81359465	21912	EDS052	MORC family CW-type zinc finger 3 (AHRD V1 *--- Q4VBZ9_HUMAN)%3B contains Interpro domain(s)  IPR003594  ATP-binding region%2C ATPase-like 
ch01	Solyc01g099310.2	81364317	81370321	6005	EDS052	RNA polymerase II holoenzyme cyclin-like subunit (AHRD V1 *-** SSN8_GIBMO)%3B contains Interpro domain(s)  IPR015432  Cyclin H 
ch01	Solyc01g099320.2	81371886	81372422	537	EDS052	Nuclear transcription factor Y subunit B-3 (AHRD V1 **** B6SUG8_MAIZE)%3B contains Interpro domain(s)  IPR003957  Transcription factor%2C CBFA/NFYB%2C DNA topoisomerase 
ch01	Solyc01g099330.2	81375622	81379067	3446	EDS052	Os10g0578600 protein (Fragment) (AHRD V1 *-*- Q0IVC7_ORYSJ)
ch01	Solyc01g099340.2	81384148	81388335	4188	EDS052	Zinc finger protein (AHRD V1 *--- Q764N7_MALDO)%3B contains Interpro domain(s)  IPR007087  Zinc finger%2C C2H2-type 
ch01	Solyc01g099350.2	81389905	81403291	13387	EDS052	Acyl-CoA binding protein 4 acyl-CoA-binding domain 4 (AHRD V1 **-* D7L3U2_ARALY)%3B contains Interpro domain(s)  IPR015915  Kelch-type beta propeller 
ch01	Solyc01g099360.2	81405479	81417163	11685	EDS052	PWWP domain-containing protein (AHRD V1 *-*- D7L3U3_ARALY)%3B contains Interpro domain(s)  IPR000313  PWWP 
ch01	Solyc01g099370.2	81419821	81421215	1395	EDS052	SRC2 homolog (Fragment) (AHRD V1 ***- B3IYJ9_9SOLA)%3B contains Interpro domain(s)  IPR018029  C2 membrane targeting protein 
ch01	Solyc01g099380.2	81423901	81426211	2311	EDS052	U4/U6.U5 tri-snRNP-associated protein 1 (AHRD V1 *--- B0WPY3_CULQU)%3B contains Interpro domain(s)  IPR005011  SART-1 protein 
ch01	Solyc01g099390.2	81426019	81427337	1319	EDS052	SRC2-like protein (AHRD V1 ***- A4K8J6_NICBE)%3B contains Interpro domain(s)  IPR018029  C2 membrane targeting protein 
ch01	Solyc01g099400.2	81429273	81435009	5737	EDS052	WD-repeat domain phosphoinositide-interacting protein 3 (AHRD V1 **-- B6SUF7_MAIZE)%3B contains Interpro domain(s)  IPR017986  WD40 repeat%2C region 
ch01	Solyc01g099410.2	81438054	81439018	965	EDS052	Histone H2A (AHRD V1 ***- Q8H0G7_TOBAC)%3B contains Interpro domain(s)  IPR002119  Histone H2A 
ch01	Solyc01g099420.1	81451240	81451621	382	EDS052	Catalase (AHRD V1 ***- Q52PH2_EUPCH)%3B contains Interpro domain(s)  IPR002226  Catalase 
ch01	Solyc01g099430.2	81453524	81454548	1025	EDS052	ATP-dependent DNA helicase RecQ (AHRD V1 ***- A8LW30_SALAI)%3B contains Interpro domain(s)  IPR004589  DNA helicase%2C ATP-dependent%2C RecQ type 
ch01	Solyc01g099440.2	81454645	81457625	2981	EDS052	ATP-dependent DNA helicase Q-like SIM (AHRD V1 ***- RQSIM_ARATH)%3B contains Interpro domain(s)  IPR004589  DNA helicase%2C ATP-dependent%2C RecQ type 
ch01	Solyc01g099450.2	81458753	81459380	628	EDS052	Unknown Protein (AHRD V1)
ch01	Solyc01g099460.1	81463393	81472730	9338	EDS052	ATP-dependent DNA helicase (AHRD V1 *-*- D8G648_9CYAN)%3B contains Interpro domain(s)  IPR004589  DNA helicase%2C ATP-dependent%2C RecQ type 
ch01	Solyc01g099470.2	81479316	81480252	937	EDS052	ATP-dependent DNA helicase Q-like SIM (AHRD V1 *-*- RQSIM_ARATH)
ch01	Solyc01g099980.2	81827984	81833604	5621	EDS053	Glycine-rich protein (AHRD V1 *--- D7M9Z2_ARALY)%3B contains Interpro domain(s)  IPR009836  Protein of unknown function DUF1399 
ch01	Solyc01g099990.2	81840818	81842579	1762	EDS053	F-box protein PP2-B1 (AHRD V1 ***- PP2B1_ARATH)%3B contains Interpro domain(s)  IPR001810  Cyclin-like F-box 
ch01	Solyc01g100000.2	81846092	81847461	1370	EDS053	F-box protein PP2-B1 (AHRD V1 ***- PP2B1_ARATH)%3B contains Interpro domain(s)  IPR001810  Cyclin-like F-box 
ch01	Solyc01g100010.2	81848944	81850943	2000	EDS053	F-box protein PP2-B1 (AHRD V1 ***- PP2B1_ARATH)%3B contains Interpro domain(s)  IPR001810  Cyclin-like F-box 
ch01	Solyc01g100020.2	81857864	81869067	11204	EDS053	Phospholipase D (AHRD V1 **** A3KH17_ARATH)%3B contains Interpro domain(s)  IPR016555  Phospholipase D%2C eukaryota 
ch01	Solyc01g100030.2	81869800	81871185	1386	EDS053	Deoxyuridine 5%26apos-triphosphate nucleotidohydrolase (AHRD V1 ***- D0NVQ2_PHYIN)%3B contains Interpro domain(s)  IPR008181  DeoxyUTP pyrophosphatase subfamily 1 
ch01	Solyc01g100040.2	81872312	81875388	3077	EDS053	Integrin-linked kinase-associated serine/threonine phosphatase 2C (AHRD V1 **** ILKAP_HUMAN)%3B contains Interpro domain(s)  IPR015655  Protein phosphatase 2C 
ch01	Solyc01g100050.2	81910268	81921061	10794	EDS053	WD-40 repeat protein (AHRD V1 *--- Q8Z020_ANASP)%3B contains Interpro domain(s)  IPR017986  WD40 repeat%2C region 
ch01	Solyc01g100060.2	81921690	81925571	3882	EDS053	Pre-mRNA-splicing factor 38A (AHRD V1 *-*- B5X2T8_SALSA)%3B contains Interpro domain(s)  IPR005037  PRP38 
ch01	Solyc01g100070.2	81925800	81926888	1089	EDS053	Unknown Protein (AHRD V1)
ch01	Solyc01g100080.2	81927750	81931586	3837	EDS053	Single-stranded DNA binding (AHRD V1 ***- Q2HW28_MEDTR)%3B contains Interpro domain(s)  IPR000424  Primosome PriB/single-strand DNA-binding 
ch01	Solyc01g100090.1	81934501	81935121	621	EDS053	Wall-associated receptor kinase-like 20 (AHRD V1 ***- WAKLQ_ARATH)
ch01	Solyc01g100100.2	81945457	81946029	573	EDS053	RING finger protein (AHRD V1 *-*- B8M8P5_TALSN)%3B contains Interpro domain(s)  IPR001841  Zinc finger%2C RING-type 
ch01	Solyc01g100110.2	81958432	81962536	4105	EDS053	Integrin-linked kinase-associated serine/threonine phosphatase 2C (AHRD V1 **** ILKAP_BOVIN)%3B contains Interpro domain(s)  IPR015655  Protein phosphatase 2C 
ch01	Solyc01g100120.2	81969682	81976667	6986	EDS053	Kinesin (AHRD V1 ***- Q5MNW6_GOSHI)%3B contains Interpro domain(s)  IPR001752  Kinesin%2C motor region 
ch01	Solyc01g100130.2	81986149	81990012	3864	EDS053	PHD-finger family protein (AHRD V1 *-*- B6U0S2_MAIZE)%3B contains Interpro domain(s)  IPR019787  Zinc finger%2C PHD-finger 
ch01	Solyc01g100140.2	81990210	81994990	4781	EDS053	Protein DEHYDRATION-INDUCED 19 homolog 3 (AHRD V1 **-- DI193_ARATH)%3B contains Interpro domain(s)  IPR008598  Drought induced 19 
ch01	Solyc01g100150.2	81993007	81994909	1903	EDS053	Unknown Protein (AHRD V1)
ch01	Solyc01g100160.2	81993609	81995070	1462	EDS053	Protein DEHYDRATION-INDUCED 19 homolog 3 (AHRD V1 ***- DI193_ARATH)%3B contains Interpro domain(s)  IPR008598  Drought induced 19 
ch01	Solyc01g100170.2	81996286	82001234	4949	EDS053	Soluble NSF Attachment Protein (SNAP) Receptor (SNARE) (AHRD V1 **** D7G2Z0_ECTSI)%3B contains Interpro domain(s)  IPR010989  t-SNARE 
ch01	Solyc01g100180.2	82003601	82007422	3822	EDS053	DNA polymerase III polC-type (AHRD V1 *-*- D2GFM8_STAAU)%3B contains Interpro domain(s)  IPR006055  Exonuclease 
ch01	Solyc01g100190.2	82009421	82017397	7977	EDS053	Misato homolog 1 (AHRD V1 *--- C1BN10_9MAXI)%3B contains Interpro domain(s)  IPR019746  Tubulin/FtsZ%2C N-terminal 
ch01	Solyc01g100200.2	82020197	82022661	2465	EDS053	GRAS family transcription factor (AHRD V1 **-* B9GJL6_POPTR)%3B contains Interpro domain(s)  IPR005202  GRAS transcription factor 
ch01	Solyc01g100210.2	82026124	82027926	1803	EDS053	Glycosyltransferase (AHRD V1 *-*- B9N4D7_POPTR)%3B contains Interpro domain(s)  IPR002495  Glycosyl transferase%2C family 8 
ch01	Solyc01g100220.2	82030138	82031017	880	EDS053	GATA transcription factor 22 (AHRD V1 *-*- B6U513_MAIZE)%3B contains Interpro domain(s)  IPR000679  Zinc finger%2C GATA-type 
ch01	Solyc01g100230.2	82041782	82043997	2216	EDS053	Chaperone protein dnaJ (AHRD V1 ***- B6U761_MAIZE)%3B contains Interpro domain(s)  IPR001623  Heat shock protein DnaJ%2C N-terminal 
ch01	Solyc01g100240.2	82072030	82076462	4433	EDS053	Calmodulin-binding protein (AHRD V1 **** D7L2U6_ARALY)%3B contains Interpro domain(s)  IPR012416  Calmodulin binding protein-like 
ch01	Solyc01g100250.2	82087534	82089060	1527	EDS053	ABC transporter permease protein (AHRD V1 ***- Q08TD1_STIAU)%3B contains Interpro domain(s)  IPR003453  Protein of unknown function DUF140 
ch01	Solyc01g100260.2	82089176	82095527	6352	EDS053	Guanosine-5%26apos-triphosphate 3%26apos-diphosphate pyrophosphatase (AHRD V1 **-- D8MKR7_9ENTR)%3B contains Interpro domain(s)  IPR003695  Ppx/GppA phosphatase 
ch01	Solyc01g100270.2	82098989	82112133	13145	EDS053	3%26apos-5%26apos exonuclease family protein (AHRD V1 *-*- Q23B12_TETTH)%3B contains Interpro domain(s)  IPR002562  3'-5' exonuclease 
ch01	Solyc01g100280.2	82113424	82119096	5673	EDS053	ATP-DEPENDENT DNA HELICASE (AHRD V1 *-** Q8SRI7_ENCCU)%3B contains Interpro domain(s)  IPR004589  DNA helicase%2C ATP-dependent%2C RecQ type 
ch01	Solyc01g100290.2	82127098	82132121	5024	EDS053	Unknown Protein (AHRD V1)
ch01	Solyc01g102340.2	82925828	82927937	2110	EDS054	Myb-like transcription factor (AHRD V1 *--- B8XPP3_9ROSI)%3B contains Interpro domain(s)  IPR015495  Myb transcription factor 
ch01	Solyc01g102350.2	82941604	82946739	5136	EDS054	Pectinacetylesterase like protein (Fragment) (AHRD V1 *--- Q56WP8_ARATH)%3B contains Interpro domain(s)  IPR004963  Pectinacetylesterase 
ch01	Solyc01g102360.1	82955828	82958426	2599	EDS054	Peptide transporter-like protein (AHRD V1 **-* Q9LSE8_ARATH)%3B contains Interpro domain(s)  IPR000109  TGF-beta receptor%2C type I/II extracellular region 
ch01	Solyc01g102370.2	82961683	82969941	8259	EDS054	Flap structure specific endonuclease 1 (AHRD V1 **** Q6DRB5_DANRE)%3B contains Interpro domain(s)  IPR006084  DNA repair protein (XPGC)/yeast Rad 
ch01	Solyc01g102380.2	82973903	82974888	986	EDS054	Germin-like protein (AHRD V1 ***- O64439_SOLLC)%3B contains Interpro domain(s)  IPR019780  Germin%2C manganese binding site 
ch01	Solyc01g102390.2	82977692	82979772	2081	EDS054	Germin-like protein (AHRD V1 ***- O65358_SOLTU)%3B contains Interpro domain(s)  IPR014710  RmlC-like jelly roll fold 
ch01	Solyc01g102400.2	82983065	82985492	2428	EDS054	Germin-like protein (AHRD V1 ***- O65358_SOLTU)%3B contains Interpro domain(s)  IPR014710  RmlC-like jelly roll fold 
ch01	Solyc01g102410.2	82987257	82996076	8820	EDS054	Glutaminyl-tRNA synthetase (AHRD V1 ***- A8BEZ0_GIALA)%3B contains Interpro domain(s)  IPR004526  Glutamyl-tRNA synthetase%2C class Ic%2C archaeal/eukaryotic cytosolic 
ch01	Solyc01g102420.1	83003378	83003704	327	EDS054	Unknown Protein (AHRD V1)
ch01	Solyc01g102430.2	83005452	83005896	445	EDS054	Unknown Protein (AHRD V1)
ch01	Solyc01g102750.2	83245131	83250588	5458	EDS055	PHD finger family protein (AHRD V1 **-- D7KBK9_ARALY)%3B contains Interpro domain(s)  IPR019787  Zinc finger%2C PHD-finger 
ch01	Solyc01g102760.2	83252023	83258088	6066	EDS055	PHD finger family protein (AHRD V1 ***- D7KBK9_ARALY)
ch01	Solyc01g102770.1	83256602	83256790	189	EDS055	Photosystem II reaction center protein Z (AHRD V1 ***- Q5IHA1_9SOLN)%3B contains Interpro domain(s)  IPR002644  Photosystem II protein PsbZ 
ch01	Solyc01g102790.2	83258225	83260605	2381	EDS055	Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7KHY5_ARALY)%3B contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat 
ch01	Solyc01g102800.2	83261245	83268236	6992	EDS055	Histidyl-tRNA synthetase (AHRD V1 *-*- Q52NV4_HUMAN)%3B contains Interpro domain(s)  IPR015807  Histidyl-tRNA synthetase%2C class IIa%2C subgroup 
ch01	Solyc01g102810.2	83273087	83279273	6187	EDS055	DNA polymerase III gamma and tau subunit (AHRD V1 *-*- B5IJD5_9CHRO)%3B contains Interpro domain(s)  IPR012763  DNA polymerase III%2C subunit gamma/ tau 
ch01	Solyc01g102820.2	83279474	83284682	5209	EDS055	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (AHRD V1 ***- A9ZN09_HEVBR)%3B contains Interpro domain(s)  IPR001228  4-diphosphocytidyl-2C-methyl-D-erythritol synthase 
ch01	Solyc01g102830.2	83288462	83289299	838	EDS055	Unknown Protein (AHRD V1)
ch01	Solyc01g102840.2	83291991	83297153	5163	EDS055	Tir-nbs%2C resistance protein fragment
ch01	Solyc01g102850.1	83299072	83303254	4183	EDS055	Tir-nbs-lrr%2C resistance protein
ch01	Solyc01g102860.2	83303739	83304848	1110	EDS055	Unknown Protein (AHRD V1)
ch01	Solyc01g102870.1	83310239	83312638	2400	EDS055	LRR receptor-like serine/threonine-protein kinase%2C RLP
