SNP	CHR	BP	P	-log10P
SL2.40ch06_6310000_6410000	6	6310000	4.934008e-04	3.306800150680689
SL2.40ch06_6320000_6420000	6	6320000	8.987767e-04	3.0463481948116438
SL2.40ch06_6330000_6430000	6	6330000	9.677305e-04	3.0142455710580593
SL2.40ch06_6340000_6440000	6	6340000	9.896924e-04	3.004499764736242
SL2.40ch06_6420000_6520000	6	6420000	8.762166e-04	3.057388523333022
SL2.40ch06_6440000_6540000	6	6440000	9.938976e-04	3.002658358103494
SL2.40ch06_6450000_6550000	6	6450000	7.317521e-04	3.1356360225435
SL2.40ch06_6460000_6560000	6	6460000	7.512446e-04	3.124218636717831
SL2.40ch06_6470000_6570000	6	6470000	7.648369e-04	3.1164311674372427
SL2.40ch06_8540000_8640000	6	8540000	1.857342e-05	4.7311081204727286
SL2.40ch06_8550000_8650000	6	8550000	3.259935e-06	5.486791059264194
SL2.40ch06_8560000_8660000	6	8560000	3.259935e-06	5.486791059264194
SL2.40ch06_8570000_8670000	6	8570000	4.617268e-08	7.33561491697079
SL2.40ch06_8580000_8680000	6	8580000	4.846325e-08	7.314587464945971
SL2.40ch06_8760000_8860000	6	8760000	7.781083e-04	3.108959952086084
SL2.40ch06_8770000_8870000	6	8770000	7.575221e-04	3.1206046925048074
SL2.40ch06_8780000_8880000	6	8780000	7.514620e-04	3.1240929759653935
SL2.40ch06_8790000_8890000	6	8790000	1.046114e-03	2.9804209857620596
SL2.40ch06_8980000_9080000	6	8980000	5.802952e-04	3.2363510217534683
SL2.40ch06_8990000_9090000	6	8990000	4.623325e-04	3.3350455764417513
SL2.40ch06_9100000_9200000	6	9100000	3.302270e-04	3.4811874208623528
SL2.40ch06_9110000_9210000	6	9110000	4.057882e-04	3.3917005860591947
SL2.40ch06_9120000_9220000	6	9120000	5.496114e-04	3.259944267750276
SL2.40ch06_9130000_9230000	6	9130000	5.331355e-04	3.2731623980588034
SL2.40ch06_9140000_9240000	6	9140000	5.331355e-04	3.2731623980588034
SL2.40ch06_9150000_9250000	6	9150000	5.385207e-04	3.2687975983585833
SL2.40ch06_9160000_9260000	6	9160000	5.385207e-04	3.2687975983585833
SL2.40ch06_9170000_9270000	6	9170000	6.499937e-04	3.187090852693291
SL2.40ch06_9180000_9280000	6	9180000	6.343698e-04	3.197657500352406
SL2.40ch06_9190000_9290000	6	9190000	8.880088e-04	3.051582730423534
SL2.40ch06_9210000_9310000	6	9210000	1.042060e-03	2.982107274396646
SL2.40ch06_9470000_9570000	6	9470000	8.259142e-04	3.0830650669677335
SL2.40ch06_9480000_9580000	6	9480000	8.237469e-04	3.084206206771745
SL2.40ch06_10870000_10970000	6	10870000	9.742453e-04	3.011331680674085
SL2.40ch06_10880000_10980000	6	10880000	1.046825e-03	2.9801259142014342
SL2.40ch06_11110000_11210000	6	11110000	1.008815e-06	5.996188468892551
SL2.40ch06_11810000_11910000	6	11810000	8.417043e-04	3.074840454145829
SL2.40ch06_11820000_11920000	6	11820000	9.348728e-04	3.029247475775711
SL2.40ch06_11830000_11930000	6	11830000	9.315493e-04	3.030794156171504
SL2.40ch06_11840000_11940000	6	11840000	8.716011e-04	3.059682230326162
SL2.40ch06_11980000_12080000	6	11980000	9.517142e-04	3.021493450772984
SL2.40ch06_11990000_12090000	6	11990000	7.483711e-04	3.1258829920871376
SL2.40ch06_12000000_12100000	6	12000000	9.802374e-04	3.0086687314257574
SL2.40ch06_12010000_12110000	6	12010000	8.844818e-04	3.053311099148709
SL2.40ch06_12020000_12120000	6	12020000	8.392510e-04	3.0761081326009827
SL2.40ch06_12030000_12130000	6	12030000	9.153549e-04	3.0384104892909005
SL2.40ch06_12040000_12140000	6	12040000	1.006830e-03	2.9970438524797056
SL2.40ch06_12050000_12150000	6	12050000	9.123095e-04	3.0398578027465346
SL2.40ch06_12060000_12160000	6	12060000	6.698446e-04	3.1740259393744714
SL2.40ch06_12070000_12170000	6	12070000	6.166891e-04	3.209933727675021
SL2.40ch06_12080000_12180000	6	12080000	6.140416e-04	3.2118022053434494
SL2.40ch06_12090000_12190000	6	12090000	5.460091e-04	3.2628001191142157
SL2.40ch06_12100000_12200000	6	12100000	3.233436e-04	3.4903357307032303
SL2.40ch06_12110000_12210000	6	12110000	1.033290e-03	2.985777773616513
SL2.40ch06_12520000_12620000	6	12520000	1.633309e-04	3.78693164484081
SL2.40ch06_12530000_12630000	6	12530000	1.400380e-04	3.853754100386056
SL2.40ch06_12540000_12640000	6	12540000	7.112474e-04	3.1479793081788996
SL2.40ch06_12550000_12650000	6	12550000	6.595674e-04	3.180740818082087
SL2.40ch06_12560000_12660000	6	12560000	4.765980e-04	3.3218477844628866
SL2.40ch06_12980000_13080000	6	12980000	4.897266e-04	3.310046306193182
SL2.40ch06_12990000_13090000	6	12990000	7.026770e-04	3.1532442615425564
SL2.40ch06_13000000_13100000	6	13000000	4.795629e-04	3.3191544222131064
SL2.40ch06_13010000_13110000	6	13010000	6.139239e-04	3.211885459247043
SL2.40ch06_13020000_13120000	6	13020000	6.555012e-04	3.183426508927518
SL2.40ch06_13130000_13230000	6	13130000	7.322291e-04	3.135353015527838
SL2.40ch06_13140000_13240000	6	13140000	8.609831e-04	3.0650053731093845
SL2.40ch06_13150000_13250000	6	13150000	8.574982e-04	3.066766782924711
SL2.40ch06_13160000_13260000	6	13160000	9.300373e-04	3.031499633317754
SL2.40ch06_13300000_13400000	6	13300000	9.726135e-04	3.0120597066629515
SL2.40ch06_13310000_13410000	6	13310000	1.011831e-03	2.9948920190145256
SL2.40ch06_13340000_13440000	6	13340000	9.341712e-04	3.0295735259091647
SL2.40ch06_13350000_13450000	6	13350000	8.969682e-04	3.047222953621831
SL2.40ch06_13360000_13460000	6	13360000	1.046528e-03	2.9802491475614943
SL2.40ch06_13700000_13800000	6	13700000	4.750366e-04	3.323272928131583
SL2.40ch06_13810000_13910000	6	13810000	6.469910e-04	3.189101760563947
SL2.40ch06_13820000_13920000	6	13820000	6.011248e-04	3.2210353544120616
SL2.40ch06_13830000_13930000	6	13830000	6.670986e-04	3.1758099707743583
SL2.40ch06_13840000_13940000	6	13840000	6.643670e-04	3.1775919476743377
SL2.40ch06_13990000_14090000	6	13990000	7.660816e-04	3.1157249685628594
SL2.40ch06_14000000_14100000	6	14000000	7.649462e-04	3.1163691084604466
SL2.40ch06_14010000_14110000	6	14010000	7.392166e-04	3.1312282890722405
SL2.40ch06_14020000_14120000	6	14020000	1.537334e-04	3.813231767764656
SL2.40ch06_14030000_14130000	6	14030000	1.854261e-04	3.7318291359509903
SL2.40ch06_14040000_14140000	6	14040000	1.827387e-04	3.7381694689768086
SL2.40ch06_14050000_14150000	6	14050000	1.739168e-04	3.759658464030132
SL2.40ch06_14270000_14370000	6	14270000	8.130699e-04	3.0898721163009664
SL2.40ch06_14600000_14700000	6	14600000	8.953765e-04	3.0479943082709293
SL2.40ch06_14620000_14720000	6	14620000	1.156900e-12	11.93670417892648
SL2.40ch06_14630000_14730000	6	14630000	1.156900e-12	11.93670417892648
SL2.40ch06_14640000_14740000	6	14640000	1.156900e-12	11.93670417892648
SL2.40ch06_14650000_14750000	6	14650000	1.156900e-12	11.93670417892648
SL2.40ch06_14660000_14760000	6	14660000	1.156900e-12	11.93670417892648
SL2.40ch06_14680000_14780000	6	14680000	1.618150e-16	15.790981222431528
SL2.40ch06_14690000_14790000	6	14690000	1.618150e-16	15.790981222431528
SL2.40ch06_14700000_14800000	6	14700000	1.618150e-16	15.790981222431528
SL2.40ch06_14710000_14810000	6	14710000	1.618150e-16	15.790981222431528
SL2.40ch06_14720000_14820000	6	14720000	1.618150e-16	15.790981222431528
SL2.40ch06_14730000_14830000	6	14730000	1.618150e-16	15.790981222431528
SL2.40ch06_14740000_14840000	6	14740000	1.618150e-16	15.790981222431528
SL2.40ch06_14750000_14850000	6	14750000	1.618150e-16	15.790981222431528
SL2.40ch06_14760000_14860000	6	14760000	1.618150e-16	15.790981222431528
SL2.40ch06_14770000_14870000	6	14770000	3.232510e-15	14.490460122924567
SL2.40ch06_14780000_14880000	6	14780000	9.373900e-15	14.028079683809178
SL2.40ch06_14790000_14890000	6	14790000	9.373900e-15	14.028079683809178
SL2.40ch06_14800000_14900000	6	14800000	9.373900e-15	14.028079683809178
SL2.40ch06_14810000_14910000	6	14810000	9.373900e-15	14.028079683809178
SL2.40ch06_14820000_14920000	6	14820000	9.373900e-15	14.028079683809178
SL2.40ch06_14830000_14930000	6	14830000	9.373900e-15	14.028079683809178
SL2.40ch06_14840000_14940000	6	14840000	9.373900e-15	14.028079683809178
SL2.40ch06_14850000_14950000	6	14850000	9.373900e-15	14.028079683809178
SL2.40ch06_14860000_14960000	6	14860000	9.373900e-15	14.028079683809178
SL2.40ch06_14910000_15010000	6	14910000	1.911200e-17	16.718693863258178
SL2.40ch06_14920000_15020000	6	14920000	1.911200e-17	16.718693863258178
SL2.40ch06_14930000_15030000	6	14930000	1.911200e-17	16.718693863258178
SL2.40ch06_14940000_15040000	6	14940000	1.911200e-17	16.718693863258178
SL2.40ch06_14950000_15050000	6	14950000	1.911200e-17	16.718693863258178
SL2.40ch06_14960000_15060000	6	14960000	1.911200e-17	16.718693863258178
SL2.40ch06_14970000_15070000	6	14970000	1.119746e-13	12.950880480284061
SL2.40ch06_14980000_15080000	6	14980000	1.119746e-13	12.950880480284061
SL2.40ch06_14990000_15090000	6	14990000	4.239746e-10	9.372660160884308
SL2.40ch06_15000000_15100000	6	15000000	2.544012e-10	9.594480844469578
SL2.40ch06_15010000_15110000	6	15010000	3.180015e-10	9.497570831461521
SL2.40ch06_15020000_15120000	6	15020000	3.180015e-10	9.497570831461521
SL2.40ch06_15030000_15130000	6	15030000	3.180015e-10	9.497570831461521
SL2.40ch06_15040000_15140000	6	15040000	5.018367e-08	7.299437581314223
SL2.40ch06_15050000_15150000	6	15050000	5.018367e-08	7.299437581314223
SL2.40ch06_15060000_15160000	6	15060000	5.018367e-08	7.299437581314223
SL2.40ch06_15070000_15170000	6	15070000	6.022036e-08	7.220256652583702
SL2.40ch06_15080000_15180000	6	15080000	6.022036e-08	7.220256652583702
SL2.40ch06_15090000_15190000	6	15090000	7.495752e-08	7.1251847906919465
SL2.40ch06_15100000_15200000	6	15100000	1.499150e-07	6.8241549109054755
SL2.40ch06_15110000_15210000	6	15110000	1.499150e-07	6.8241549109054755
SL2.40ch06_15120000_15220000	6	15120000	1.499150e-07	6.8241549109054755
SL2.40ch06_15130000_15230000	6	15130000	1.499150e-07	6.8241549109054755
SL2.40ch06_15260000_15360000	6	15260000	7.941125e-13	12.100117967764032
SL2.40ch06_15270000_15370000	6	15270000	2.910909e-06	5.53597137113817
SL2.40ch06_15280000_15380000	6	15280000	2.281694e-06	5.641742599629609
SL2.40ch06_15290000_15390000	6	15290000	2.408174e-06	5.618312136803843
SL2.40ch06_15300000_15400000	6	15300000	2.213103e-06	5.654998373108135
SL2.40ch06_15310000_15410000	6	15310000	2.396177e-06	5.620481104778503
SL2.40ch06_15320000_15420000	6	15320000	9.769056e-05	4.010147400846069
SL2.40ch06_15330000_15430000	6	15330000	6.628481e-05	4.178585984249942
SL2.40ch06_15340000_15440000	6	15340000	5.546371e-05	4.255991083574628
SL2.40ch06_15610000_15710000	6	15610000	7.726369e-04	3.112024554431297
SL2.40ch06_15850000_15950000	6	15850000	9.632514e-04	3.016260351106207
SL2.40ch06_15860000_15960000	6	15860000	6.774537e-04	3.169120380928277
SL2.40ch06_15870000_15970000	6	15870000	8.428110e-04	3.0742698048056014
SL2.40ch06_15880000_15980000	6	15880000	7.543088e-04	3.1224508256406147
SL2.40ch06_15890000_15990000	6	15890000	8.007111e-04	3.096524150966621
SL2.40ch06_15900000_16000000	6	15900000	8.571993e-04	3.066918192280537
SL2.40ch06_15910000_16010000	6	15910000	5.904280e-04	3.228833055051631
SL2.40ch06_15920000_16020000	6	15920000	9.590077e-04	3.0181779058073492
SL2.40ch06_16790000_16890000	6	16790000	9.200426e-04	3.036192063397265
SL2.40ch06_16800000_16900000	6	16800000	1.045526e-03	2.9806651627352347
SL2.40ch06_16810000_16910000	6	16810000	7.045591e-04	3.152082571429918
SL2.40ch06_17040000_17140000	6	17040000	9.242632e-04	3.034204338270436
SL2.40ch06_17050000_17150000	6	17050000	9.235211e-04	3.0345531776369663
SL2.40ch06_17060000_17160000	6	17060000	6.316514e-04	3.199522536947309
SL2.40ch06_17070000_17170000	6	17070000	6.226247e-04	3.2057736545161366
SL2.40ch06_17980000_18080000	6	17980000	7.810888e-04	3.107299589480303
SL2.40ch06_18120000_18220000	6	18120000	1.023763e-03	2.989800570415976
SL2.40ch06_18490000_18590000	6	18490000	1.337308e-04	3.8737685573636176
SL2.40ch06_18500000_18600000	6	18500000	1.847634e-04	3.733384054502714
SL2.40ch06_18510000_18610000	6	18510000	2.305480e-04	3.637238640925516
SL2.40ch06_18520000_18620000	6	18520000	3.406376e-04	3.4677074157649246
SL2.40ch06_18880000_18980000	6	18880000	9.065747e-04	3.042596405069641
SL2.40ch06_19200000_19300000	6	19200000	9.178191e-04	3.0372429087918356
SL2.40ch06_20700000_20800000	6	20700000	7.033932e-04	3.152801834507492
SL2.40ch06_20710000_20810000	6	20710000	7.179442e-04	3.1439093086460117
SL2.40ch06_20720000_20820000	6	20720000	5.874604e-04	3.2310214033389846
SL2.40ch06_20740000_20840000	6	20740000	1.040712e-03	2.9826694377475533
SL2.40ch06_20750000_20850000	6	20750000	9.855381e-04	3.006326581633226
SL2.40ch06_20830000_20930000	6	20830000	8.573773e-04	3.0668280190936916
SL2.40ch06_21100000_21200000	6	21100000	9.763559e-04	3.0103918450057527
SL2.40ch06_21110000_21210000	6	21110000	7.863309e-04	3.104394657774136
SL2.40ch06_21120000_21220000	6	21120000	7.369138e-04	3.1325833104771643
SL2.40ch06_21130000_21230000	6	21130000	6.410295e-04	3.19312198390955
SL2.40ch06_21140000_21240000	6	21140000	7.147605e-04	3.1458394560349396
SL2.40ch06_21510000_21610000	6	21510000	7.313046e-04	3.1359016947990073
SL2.40ch06_21520000_21620000	6	21520000	6.475152e-04	3.1887500323453297
SL2.40ch06_22250000_22350000	6	22250000	8.832585e-04	3.0539121744588305
SL2.40ch06_22260000_22360000	6	22260000	9.120299e-04	3.039990923522297
SL2.40ch06_22270000_22370000	6	22270000	8.176803e-04	3.0874164653815077
SL2.40ch06_22280000_22380000	6	22280000	4.532145e-04	3.3436962039073825
SL2.40ch06_22750000_22850000	6	22750000	4.895915e-04	3.3101661307627013
SL2.40ch06_22910000_23010000	6	22910000	9.228886e-04	3.0348507186112674
SL2.40ch06_23030000_23130000	6	23030000	8.294246e-04	3.0812230879907863
SL2.40ch06_23040000_23140000	6	23040000	6.897786e-04	3.1612902835060015
SL2.40ch06_23050000_23150000	6	23050000	8.355845e-04	3.0780096247315853
SL2.40ch06_23220000_23320000	6	23220000	8.149955e-04	3.0888447892116355
SL2.40ch06_23270000_23370000	6	23270000	9.420176e-04	3.0259409830760426
SL2.40ch06_23280000_23380000	6	23280000	1.001902e-03	2.999174756453485
SL2.40ch06_23290000_23390000	6	23290000	8.965989e-04	3.0474017982877855
SL2.40ch06_23300000_23400000	6	23300000	1.036512e-03	2.984425665587858
SL2.40ch06_23670000_23770000	6	23670000	7.951901e-04	3.099529035479625
SL2.40ch06_23700000_23800000	6	23700000	9.315260e-04	3.030805018922386
SL2.40ch06_23710000_23810000	6	23710000	8.305652e-04	3.0806262694271838
SL2.40ch06_23720000_23820000	6	23720000	8.188126e-04	3.0868154829753736
SL2.40ch06_23830000_23930000	6	23830000	3.878850e-04	3.411297014788155
SL2.40ch06_23840000_23940000	6	23840000	3.835069e-04	3.416226817881969
SL2.40ch06_23850000_23950000	6	23850000	7.082201e-04	3.14983175168803
SL2.40ch06_23860000_23960000	6	23860000	6.454754e-04	3.1901203046722886
SL2.40ch06_23870000_23970000	6	23870000	6.594926e-04	3.1807900731990357
SL2.40ch06_23880000_23980000	6	23880000	7.776037e-04	3.109241681613469
SL2.40ch06_23890000_23990000	6	23890000	7.936308e-04	3.100381486001963
SL2.40ch06_23900000_24000000	6	23900000	7.414507e-04	3.12991772046804
SL2.40ch06_23910000_24010000	6	23910000	8.297186e-04	3.081069174116425
SL2.40ch06_24360000_24460000	6	24360000	1.030039e-03	2.987146331446147
SL2.40ch06_24510000_24610000	6	24510000	9.278435e-04	3.0325252703523913
SL2.40ch06_24550000_24650000	6	24550000	8.076198e-04	3.0927930422230343
SL2.40ch06_24560000_24660000	6	24560000	7.863277e-04	3.1043964251537086
SL2.40ch06_24570000_24670000	6	24570000	7.164994e-04	3.144784168946746
SL2.40ch06_24580000_24680000	6	24580000	3.257871e-04	3.487066116189979
SL2.40ch06_24590000_24690000	6	24590000	8.967749e-04	3.047316555792261
SL2.40ch06_24850000_24950000	6	24850000	2.563085e-04	3.591236990999195
SL2.40ch06_24860000_24960000	6	24860000	3.253324e-04	3.4876726829815503
SL2.40ch06_24970000_25070000	6	24970000	2.284037e-04	3.641296865064685
SL2.40ch06_25010000_25110000	6	25010000	1.029746e-03	2.987269886364797
SL2.40ch06_25020000_25120000	6	25020000	9.827536e-04	3.007555356607572
SL2.40ch06_25030000_25130000	6	25030000	1.016267e-03	2.992992176507897
SL2.40ch06_25040000_25140000	6	25040000	1.028222e-03	2.987913108136378
SL2.40ch06_25050000_25150000	6	25050000	8.599207e-04	3.0655415965940325
SL2.40ch06_25060000_25160000	6	25060000	8.446615e-04	3.0733173006777874
SL2.40ch06_25070000_25170000	6	25070000	6.198843e-04	3.207689363018827
SL2.40ch06_25680000_25780000	6	25680000	1.394800e-21	20.85548806129606
SL2.40ch06_25690000_25790000	6	25690000	1.516359e-05	4.819197966737347
SL2.40ch06_25700000_25800000	6	25700000	2.193537e-05	4.6588550356331835
SL2.40ch06_25710000_25810000	6	25710000	1.361812e-04	3.865882843229477
SL2.40ch06_25960000_26060000	6	25960000	9.289114e-04	3.032025707240036
SL2.40ch06_25980000_26080000	6	25980000	5.394640e-04	3.268037531746609
SL2.40ch06_25990000_26090000	6	25990000	6.088244e-04	3.2155079505656525
SL2.40ch06_26000000_26100000	6	26000000	6.847980e-04	3.164437516716172
SL2.40ch06_26010000_26110000	6	26010000	7.121600e-04	3.1474224230615526
SL2.40ch06_26020000_26120000	6	26020000	6.847361e-04	3.1644767750719125
SL2.40ch06_26030000_26130000	6	26030000	7.239539e-04	3.1402890879645255
SL2.40ch06_26040000_26140000	6	26040000	3.767353e-04	3.4239636846097072
SL2.40ch06_26050000_26150000	6	26050000	5.187891e-04	3.285009157220922
SL2.40ch06_26060000_26160000	6	26060000	6.395840e-04	3.194102409213835
SL2.40ch06_26070000_26170000	6	26070000	3.129724e-05	4.50449395975774
SL2.40ch06_26550000_26650000	6	26550000	1.037390e-03	2.984057942737027
SL2.40ch06_26820000_26920000	6	26820000	8.400674e-04	3.07568586837407
SL2.40ch06_26830000_26930000	6	26830000	8.506939e-04	3.070226681343256
SL2.40ch06_26840000_26940000	6	26840000	8.019556e-04	3.0958496756170533
SL2.40ch06_26850000_26950000	6	26850000	5.174019e-04	3.2861719808030845
SL2.40ch06_26860000_26960000	6	26860000	7.390767e-04	3.131310488995895
SL2.40ch06_26870000_26970000	6	26870000	7.047732e-04	3.1519506189453397
SL2.40ch06_26880000_26980000	6	26880000	5.537001e-04	3.256725398053094
SL2.40ch06_26890000_26990000	6	26890000	6.035033e-04	3.2193203508062807
SL2.40ch06_27280000_27380000	6	27280000	8.294250e-04	3.0812228785470936
SL2.40ch06_27290000_27390000	6	27290000	8.871244e-04	3.0520154754948052
SL2.40ch06_27300000_27400000	6	27300000	1.011993e-03	2.994822491519824
SL2.40ch06_27330000_27430000	6	27330000	1.097384e-04	3.959641376163237
SL2.40ch06_27340000_27440000	6	27340000	6.275906e-05	4.2023235698631485
SL2.40ch06_27350000_27450000	6	27350000	8.038298e-05	4.094835897452691
SL2.40ch06_27360000_27460000	6	27360000	2.040792e-04	3.690201256849592
SL2.40ch06_27470000_27570000	6	27470000	4.289572e-04	3.367586038190826
SL2.40ch06_27480000_27580000	6	27480000	4.013797e-04	3.3964445959763867
SL2.40ch06_27490000_27590000	6	27490000	3.588705e-05	4.445062240228413
SL2.40ch06_27500000_27600000	6	27500000	4.702100e-04	3.3277081389315435
SL2.40ch06_27510000_27610000	6	27510000	4.635831e-04	3.3338724046983583
SL2.40ch06_28150000_28250000	6	28150000	8.747884e-04	3.058096984492873
SL2.40ch06_31150000_31250000	6	31150000	6.080342e-04	3.2160719923496996
SL2.40ch06_34110000_34210000	6	34110000	9.305385e-04	3.031265653708221
SL2.40ch06_39480000_39580000	6	39480000	6.239075e-04	3.204879793678762
SL2.40ch06_39490000_39590000	6	39490000	4.555200e-04	3.34149255019712
SL2.40ch06_39500000_39600000	6	39500000	3.443589e-04	3.462988688136945
SL2.40ch06_39620000_39720000	6	39620000	1.041247e-03	2.9824462368555738
SL2.40ch06_39630000_39730000	6	39630000	8.840833e-04	3.053506813011849
SL2.40ch06_40350000_40450000	6	40350000	1.190833e-04	3.924149138822657
SL2.40ch06_40360000_40460000	6	40360000	1.178789e-04	3.9285639254702214
SL2.40ch06_40370000_40470000	6	40370000	1.029932e-04	3.9871914481100275
SL2.40ch06_40380000_40480000	6	40380000	1.065800e-04	3.972324284095107
SL2.40ch06_40390000_40490000	6	40390000	1.034788e-04	3.9851486162562293
SL2.40ch06_40400000_40500000	6	40400000	6.461093e-04	3.1896940077454468
SL2.40ch06_40410000_40510000	6	40410000	5.966144e-04	3.2243062686322417
SL2.40ch06_40890000_40990000	6	40890000	9.704764e-04	3.0130150213002382
SL2.40ch06_40900000_41000000	6	40900000	6.430441e-04	3.191759242114812
SL2.40ch06_40910000_41010000	6	40910000	6.989434e-04	3.1555579917263197
SL2.40ch07_0_100000	7	0	7.871743e-04	3.1039290933754744
SL2.40ch07_430000_530000	7	430000	8.369657e-04	3.077292339624375
SL2.40ch07_440000_540000	7	440000	4.150696e-04	3.381879073501077
SL2.40ch07_830000_930000	7	830000	2.042327e-04	3.6898747211492475
SL2.40ch07_840000_940000	7	840000	1.862244e-04	3.7299634163132813
SL2.40ch07_850000_950000	7	850000	2.206395e-04	3.6563167353392143
SL2.40ch07_860000_960000	7	860000	2.062557e-04	3.6855940406236574
SL2.40ch07_870000_970000	7	870000	1.563048e-04	3.8060276849270425
SL2.40ch07_880000_980000	7	880000	1.500493e-04	3.8237660262760924
SL2.40ch07_890000_990000	7	890000	1.393466e-04	3.8559036234289876
SL2.40ch07_900000_1000000	7	900000	1.271692e-04	3.895618060776899
SL2.40ch07_910000_1010000	7	910000	7.279840e-04	3.137878165725522
SL2.40ch07_1020000_1120000	7	1020000	1.035982e-03	2.984647790313359
SL2.40ch07_1040000_1140000	7	1040000	9.488738e-04	3.0227915447994493
SL2.40ch07_1050000_1150000	7	1050000	8.075717e-04	3.092818908585736
SL2.40ch07_1060000_1160000	7	1060000	6.801801e-04	3.1673760783524507
SL2.40ch07_1070000_1170000	7	1070000	6.128687e-04	3.212632558064425
SL2.40ch07_1080000_1180000	7	1080000	5.161033e-04	3.2872633640123805
SL2.40ch07_1090000_1190000	7	1090000	5.493659e-04	3.2601383014160867
SL2.40ch07_1280000_1380000	7	1280000	6.932350e-04	3.1591195187752814
SL2.40ch07_1290000_1390000	7	1290000	5.895065e-04	3.229511401936883
SL2.40ch07_1300000_1400000	7	1300000	6.194983e-04	3.207959881058107
SL2.40ch07_1310000_1410000	7	1310000	4.191279e-04	3.377653428613191
SL2.40ch07_1320000_1420000	7	1320000	4.241669e-04	3.3724632248063053
SL2.40ch07_1330000_1430000	7	1330000	4.350694e-04	3.3614414611303616
SL2.40ch07_1340000_1440000	7	1340000	3.570744e-04	3.4472412848877854
SL2.40ch07_1350000_1450000	7	1350000	2.824720e-04	3.5490245950946835
SL2.40ch07_1360000_1460000	7	1360000	2.863272e-04	3.543137393687085
SL2.40ch07_1370000_1470000	7	1370000	2.536548e-04	3.5957569149598667
SL2.40ch07_1380000_1480000	7	1380000	2.547175e-04	3.5939412164327393
SL2.40ch07_1390000_1490000	7	1390000	5.742383e-04	3.240907844713176
SL2.40ch07_1400000_1500000	7	1400000	5.419395e-04	3.266049193688014
SL2.40ch07_1410000_1510000	7	1410000	7.012075e-04	3.1541534474111077
SL2.40ch07_1420000_1520000	7	1420000	7.936575e-04	3.1003668753446956
SL2.40ch07_1430000_1530000	7	1430000	7.115585e-04	3.1477893890683966
SL2.40ch07_2540000_2640000	7	2540000	6.030329e-04	3.2196589931688364
SL2.40ch07_2550000_2650000	7	2550000	5.973131e-04	3.223797960398876
SL2.40ch07_2560000_2660000	7	2560000	5.106634e-04	3.2918652675559334
SL2.40ch07_2570000_2670000	7	2570000	4.948244e-04	3.3055488932707098
SL2.40ch07_2580000_2680000	7	2580000	5.536506e-04	3.2567642250965383
SL2.40ch07_2590000_2690000	7	2590000	4.915299e-04	3.3084500586862777
SL2.40ch07_2600000_2700000	7	2600000	3.977998e-04	3.400335439559794
SL2.40ch07_3120000_3220000	7	3120000	5.784952e-04	3.237700240207757
SL2.40ch07_4020000_4120000	7	4020000	9.803662e-04	3.008611670294839
SL2.40ch07_4030000_4130000	7	4030000	8.872508e-04	3.051953600393524
SL2.40ch07_4040000_4140000	7	4040000	9.049208e-04	3.0433894292236614
SL2.40ch07_4430000_4530000	7	4430000	9.814414e-04	3.008135626187663
SL2.40ch07_4440000_4540000	7	4440000	8.793834e-04	3.0558217367563896
SL2.40ch07_4450000_4550000	7	4450000	8.825530e-04	3.0542592044484818
SL2.40ch07_4580000_4680000	7	4580000	6.728366e-04	3.172090392439472
SL2.40ch07_4590000_4690000	7	4590000	7.001106e-04	3.1548333468778953
SL2.40ch07_4600000_4700000	7	4600000	9.061111e-04	3.04281854938853
SL2.40ch07_4610000_4710000	7	4610000	1.017886e-03	2.9923008588787208
SL2.40ch07_4750000_4850000	7	4750000	1.597347e-09	8.796600729562618
SL2.40ch07_4760000_4860000	7	4760000	1.597347e-09	8.796600729562618
SL2.40ch07_4770000_4870000	7	4770000	1.597347e-09	8.796600729562618
SL2.40ch07_4780000_4880000	7	4780000	1.597347e-09	8.796600729562618
SL2.40ch07_4790000_4890000	7	4790000	1.689620e-09	8.772210958380283
SL2.40ch07_4800000_4900000	7	4800000	5.377570e-05	4.2694139276786
SL2.40ch07_4810000_4910000	7	4810000	3.386379e-04	3.4702644377222103
SL2.40ch07_4820000_4920000	7	4820000	5.120065e-04	3.2907245255550017
SL2.40ch07_6340000_6440000	7	6340000	9.688881e-04	3.013726378118234
SL2.40ch07_6350000_6450000	7	6350000	8.361631e-04	3.0777090018417868
SL2.40ch07_6360000_6460000	7	6360000	8.403660e-04	3.0755315268409142
SL2.40ch07_6370000_6470000	7	6370000	9.566012e-04	3.0192690786668024
SL2.40ch07_7410000_7510000	7	7410000	9.559172e-04	3.019579723979587
SL2.40ch07_7420000_7520000	7	7420000	9.251205e-04	3.033801695286176
SL2.40ch07_7430000_7530000	7	7430000	9.440777e-04	3.024992260688616
SL2.40ch07_7440000_7540000	7	7440000	8.874983e-04	3.0518324701616866
SL2.40ch07_7450000_7550000	7	7450000	1.000312e-03	2.9998645212552315
SL2.40ch07_7620000_7720000	7	7620000	1.025346e-03	2.9891295584770132
SL2.40ch07_7630000_7730000	7	7630000	6.374483e-04	3.195555032753163
SL2.40ch07_7640000_7740000	7	7640000	5.978189e-04	3.2234303588919935
SL2.40ch07_7650000_7750000	7	7650000	5.906222e-04	3.228690233029086
SL2.40ch07_7660000_7760000	7	7660000	4.769008e-04	3.321571949037523
SL2.40ch07_7670000_7770000	7	7670000	4.935145e-04	3.306700082756297
SL2.40ch07_7680000_7780000	7	7680000	5.409583e-04	3.266836211377514
